IdentityReference,AccessControlType,FileSystemRights,IsInherited
mstephensonkf,Deny,ReadAndExecute,True
aeddykg,Deny,FullControl,False
gnoicekh,Allow,Write,True
dyoullki,Deny,FullControl,False
lreolfokj,Allow,ExecuteFile,False
alapishkk,Deny,ExecuteFile,False
kevershedkl,Deny,ReadAndExecute,True
ukidkm,Deny,ListFolderContents,True
bcalvertkn,Deny,ListFolderContents,True
egorwoodko,Deny,ListFolderContents,False
ivolkeskp,Allow,ListFolderContents,False
acorryerkq,Deny,FullControl,False
tbenzieskr,Allow,FullControl,True
jstoopks,Deny,Write,False
fpeerskt,Deny,ExecuteFile,True
achartersku,Allow,Modify,False
fbrookwoodkv,Allow,ExecuteFile,True
nbieverkw,Deny,ReadAndExecute,True
cpedgriftkx,Allow,FullControl,True
rrapkinsky,Allow,Write,True
pgirardinikz,Allow,ExecuteFile,False
peliotl0,Deny,Modify,False
cebbenl1,Allow,Modify,True
hastlettl2,Deny,FullControl,True
tfreakel3,Deny,ListFolderContents,False
janticl4,Allow,Write,False
acarmontl5,Allow,ReadAndExecute,False
probbell6,Deny,ListFolderContents,False
kocuddiel7,Deny,Write,True
gdybelll8,Allow,Read,False
hspreckleyl9,Allow,ReadAndExecute,True
djoynesla,Deny,ListFolderContents,False
snicklinsonlb,Allow,ExecuteFile,False
jcardenosolc,Deny,Write,False
apuckerld,Allow,Modify,False
wferrigele,Deny,Modify,True
ktharmelf,Allow,Write,False
aengledowlg,Allow,ExecuteFile,True
cberthlh,Allow,ListFolderContents,True
dtwidleli,Allow,Write,True
bbownelj,Allow,ListFolderContents,False
pcastiglionilk,Allow,FullControl,False
aklimochkinll,Allow,FullControl,False
shappellm,Deny,ListFolderContents,False
rpatshullln,Deny,Modify,True
bwhathamlo,Deny,ReadAndExecute,True
epaffordlp,Deny,ReadAndExecute,False
skinnochlq,Deny,ExecuteFile,True
rclaydenlr,Deny,ReadAndExecute,True
saugurls,Allow,FullControl,True
aridelt,Deny,ListFolderContents,False
gjoirislu,Allow,Write,False
jbutfieldlv,Deny,Modify,True
mbirdseyelw,Deny,FullControl,True
lhuntonlx,Deny,Modify,False
blisamorely,Deny,ReadAndExecute,False
swealleanslz,Deny,Read,True
trubinowitschm0,Allow,ExecuteFile,True
vroffem1,Deny,Read,False
kgamlenm2,Allow,Write,False
cgreenm3,Deny,Modify,False
ebernardym4,Deny,ListFolderContents,True
hcrocombem5,Allow,FullControl,True
mhatfullm6,Deny,FullControl,True
tpersencem7,Deny,Read,True
fwiltshierm8,Allow,FullControl,True
btwyfordm9,Deny,Read,False
ysidwickma,Deny,ListFolderContents,False
mmerrisonmb,Deny,ReadAndExecute,False
aeselmc,Allow,Write,False
gnormanvillmd,Deny,ReadAndExecute,True
mjepsonme,Allow,ExecuteFile,True
acreebomf,Allow,Read,False
fbraddockmg,Deny,Write,False
schavesmh,Deny,ReadAndExecute,False
cgullmi,Deny,Write,False
epontenmj,Deny,ListFolderContents,True
mmulliganmk,Allow,Write,False
pwadmanml,Deny,ExecuteFile,True
clukianovichmm,Allow,ReadAndExecute,False
bhardenmn,Deny,Modify,False
gschoolfieldmo,Allow,ExecuteFile,False
apavolinimp,Allow,ExecuteFile,True
fthoumassonmq,Deny,ExecuteFile,False
plaurentinomr,Deny,Write,True
bfeaversms,Allow,Read,False
wdonisimt,Deny,ListFolderContents,True
dbraidenmu,Deny,ReadAndExecute,False
nmackeigmv,Deny,Read,True
bhargravemw,Allow,Modify,True
aabbessmx,Deny,ListFolderContents,True
sbalmannmy,Allow,Write,False
pfidgettmz,Deny,ExecuteFile,False
dsavinen0,Allow,FullControl,False
mmclaen1,Allow,FullControl,False
achaslesn2,Deny,Read,True
dpanswickn3,Allow,ReadAndExecute,False
mvallentinn4,Allow,Modify,True
dmadlen5,Deny,Write,False
srivenzonn6,Deny,ReadAndExecute,False
nklugeln7,Deny,ListFolderContents,True
ssansomn8,Deny,ExecuteFile,False
cpattissonn9,Allow,ListFolderContents,False
acunahna,Allow,FullControl,True
rbourgaizenb,Allow,Write,False
pbennetonnc,Deny,ExecuteFile,True
wcollingridgend,Deny,ExecuteFile,True
aknivettne,Deny,Modify,False
bbradnecknf,Deny,ReadAndExecute,True
mmcalineng,Deny,ReadAndExecute,False
rmoncknh,Deny,Read,True
smccarrollni,Deny,Read,True
hshalenj,Deny,Write,True
bsansumnk,Allow,Write,False
ocorreanl,Allow,Read,True
smunronm,Allow,FullControl,True
tsheronnn,Allow,ReadAndExecute,True
dpegrumno,Allow,Write,False
traesidenp,Deny,ListFolderContents,True
rbloxsomnq,Deny,ReadAndExecute,False
lfernannr,Deny,ListFolderContents,False
bfairyns,Allow,ExecuteFile,False
mklimpkent,Deny,Modify,True
hlegerwoodnu,Allow,ExecuteFile,False
kbestallnv,Deny,ReadAndExecute,True
dbrunsdonnw,Deny,Modify,False
lclairnx,Deny,FullControl,True
bstanesny,Deny,Read,True
gledwitchnz,Allow,Read,True
alarkkemo0,Deny,Read,True
gtevlino1,Allow,ListFolderContents,True
rgemeauo2,Allow,Write,True
dwitulo3,Allow,ListFolderContents,True
hgullbergo4,Allow,ReadAndExecute,True
zfydoo5,Allow,Read,False
cmaccarto6,Deny,Read,True
nlimberto7,Deny,Modify,False
gwinchcombeo8,Deny,FullControl,False
tosipovo9,Allow,Read,True
bjellimanoa,Allow,ListFolderContents,True
klagoob,Deny,ReadAndExecute,True
cfontanetoc,Deny,Read,False
rscapelhornod,Allow,ListFolderContents,False
scoverlynoe,Allow,ListFolderContents,False
dvedyasovof,Deny,ExecuteFile,True
rsambeckog,Allow,Read,False
jflowittoh,Allow,Write,False
rhamlyoi,Allow,ExecuteFile,True
tvillaronoj,Allow,FullControl,False
bsexok,Deny,ReadAndExecute,True
kgagesol,Deny,ReadAndExecute,False
fgietzom,Deny,Read,True
ndutsonon,Allow,ListFolderContents,True
bstuckeyoo,Deny,ExecuteFile,False
ilauretop,Deny,Write,False
twattingoq,Allow,FullControl,False
gflethamor,Deny,FullControl,True
lascheos,Allow,ReadAndExecute,False
nstroyanot,Allow,Read,False
pendeanou,Allow,Modify,True
ewhiskerdov,Allow,ReadAndExecute,True
singilsonow,Allow,FullControl,True
bternox,Deny,Modify,False
apiscopellooy,Allow,Modify,True
ltrevethanoz,Deny,ReadAndExecute,True
cgodardp0,Allow,ExecuteFile,False
agolyp1,Allow,FullControl,True
cmatevosianp2,Deny,Read,False
kivanishchevp3,Deny,ListFolderContents,False
spoulglaisp4,Allow,Write,False
dlopesp5,Allow,ListFolderContents,False
candoverp6,Deny,Write,True
qospillanep7,Deny,ListFolderContents,True
creddanp8,Deny,ReadAndExecute,False
jtealp9,Allow,FullControl,True
nrodrigopa,Deny,ReadAndExecute,True
imatschekpb,Allow,ReadAndExecute,True
ituttiettpc,Deny,Modify,True
folivaripd,Allow,ExecuteFile,False
msouthgatepe,Allow,Write,False
abraddpf,Deny,ReadAndExecute,True
arhydderchpg,Deny,ListFolderContents,True
csedgemanph,Allow,ListFolderContents,True
gbarkhousepi,Allow,Read,True
jmaragespj,Allow,ExecuteFile,True
kscannellpk,Allow,ExecuteFile,True
rkettleypl,Deny,Modify,True
vclilverdpm,Allow,ReadAndExecute,False
ltrematickpn,Allow,Write,True
lraymentpo,Deny,ReadAndExecute,True
hsurmonpp,Allow,Modify,True
dmablestonepq,Deny,ExecuteFile,True
sbharpr,Deny,ListFolderContents,True
mdarbeyps,Allow,Write,False
ooldalept,Allow,Write,False
jbedderpu,Deny,FullControl,False
ldowellpv,Deny,Modify,False
cbrindpw,Allow,Write,True
kkleinpx,Allow,FullControl,True
nlorenpy,Deny,ReadAndExecute,False
aberkelypz,Deny,Modify,True
fjordesonq0,Deny,ListFolderContents,False
jcomiskeyq1,Allow,ReadAndExecute,True
aramesq2,Allow,FullControl,False
vgaraghanq3,Allow,FullControl,True
gargabriteq4,Allow,Modify,True
obardeq5,Deny,FullControl,True
rlorenteq6,Allow,Modify,True
dogormanq7,Allow,Read,True
sdurakq8,Allow,Modify,False
ssmallq9,Deny,ExecuteFile,False
ccleughqa,Allow,ExecuteFile,True
bruddickqb,Allow,Write,False
hbelchamqc,Deny,ListFolderContents,True
mfleckneyqd,Deny,Write,False
ymckennanqe,Allow,Write,False
jcargenvenqf,Deny,ReadAndExecute,True
rgansbuhlerqg,Allow,ExecuteFile,True
gdiscombeqh,Allow,Modify,False
ebroomeqi,Allow,FullControl,False
mwarboyqj,Allow,Modify,True
emacellenqk,Deny,Read,True
kyeldenql,Allow,ListFolderContents,True
cpiggotqm,Allow,ListFolderContents,False
bsallowsqn,Deny,ListFolderContents,False
dscedallqo,Allow,Write,True
rkeaseyqp,Allow,Read,False
ctinceyqq,Allow,Read,True
plumleyqr,Deny,ReadAndExecute,False
dbernocchiqs,Allow,FullControl,False
mhenrichsqt,Allow,Modify,False
amartschkequ,Allow,ListFolderContents,True
fbricknallqv,Deny,Read,True
ccotonqw,Deny,Modify,True
erawsthorneqx,Deny,Write,True
sheersqy,Deny,Modify,False
oshirtqz,Deny,ListFolderContents,False
esibbitr0,Deny,Write,True
rdunnicor1,Allow,ExecuteFile,True
bzmitrichenkor2,Deny,ReadAndExecute,False
bbouldingr3,Deny,ReadAndExecute,True
esimonsr4,Allow,ReadAndExecute,False
ahellensr5,Deny,ExecuteFile,False
scauncer6,Deny,ListFolderContents,True
jkinsmanr7,Deny,ExecuteFile,True
jcromleholmer8,Deny,ReadAndExecute,True
dwhearr9,Deny,Modify,False
tgemmillra,Deny,Write,False
mcornesrb,Deny,Modify,True
ptenbyrc,Allow,Write,True
tmullanyrd,Deny,Modify,True
gpeevorre,Deny,Read,False
cedgellrf,Allow,ListFolderContents,False
awallsamrg,Deny,FullControl,False
nmcquirkrh,Allow,ExecuteFile,True
ltwelftreeri,Deny,FullControl,True
wguthrumrj,Deny,Write,False
pmadginrk,Deny,Read,True
dmcguanerl,Deny,Modify,False
ocastellanrm,Allow,ListFolderContents,True
lbeathemrn,Deny,ReadAndExecute,True
rahmedro,Allow,ReadAndExecute,False
averseyrp,Deny,Write,False
hhurdlerq,Deny,ListFolderContents,True
dwiddrr,Deny,Read,True
